0,1.0,0,0
1,26.0,26,0
2,676.0,427,0
3,17576.0,2130,553
4,456976.0,7186,14148
5,11881376.0,15918,30006
6,308915776.0,29874,103464
7,8031810176.0,41998,71747
8,208827064576.0,51627,107215
9,5429503678976.0,53402,24446
10,141167095653376.0,45872,15945
11,3670344486987776.0,37539,7340
12,9.542895666168218e+16,29125,5539
13,2.4811528732037366e+18,20944,3857
14,6.450997470329715e+19,14149,1687
15,1.677259342285726e+21,8846,1157
16,4.360874289942888e+22,5182,789
17,1.1338273153851507e+24,2967,336
18,2.947951020001392e+25,1471,247
19,7.664672652003619e+26,760,152
20,1.992814889520941e+28,359,106
21,5.181318712754446e+29,168,66
22,1.3471428653161561e+31,74,47
23,3.502571449822006e+32,31,22
24,9.106685769537215e+33,12,20
25,2.367738300079676e+35,8,6
26,6.156119580207158e+36,0,14
27,1.600591090853861e+38,3,2
28,4.161536836220038e+39,2,5
29,1.08199957741721e+41,2,2
30,2.813198901284746e+42,0,1
