0,1.0,0,0
1,36.0,27,0
2,1296.0,637,0
3,46656.0,4711,847
4,1679616.0,11171,26775
5,60466176.0,22950,51295
6,2176782336.0,39518,248016
7,78364164096.0,52093,182935
8,2821109907456.0,61019,303497
9,101559956668416.0,61754,68661
10,3656158440062976.0,54321,45853
11,1.3162170384226714e+17,46411,21795
12,4.738381338321617e+18,37524,15276
13,1.705817281795782e+20,27924,11845
14,6.140942214464815e+21,19258,5170
15,2.2107391972073336e+23,12148,3455
16,7.958661109946401e+24,7115,2303
17,2.865117999580704e+26,3982,777
18,1.0314424798490537e+28,2003,593
19,3.7131929274565926e+29,1053,354
20,1.3367494538843734e+31,506,309
21,4.8122980339837445e+32,238,136
22,1.7324272922341479e+34,102,98
23,6.236738252042933e+35,49,44
24,2.245225770735456e+37,18,51
25,8.08281277464764e+38,7,28
26,2.9098125988731505e+40,2,32
27,1.0475325355943343e+42,3,10
28,3.7711171281396034e+43,2,13
29,1.3576021661302572e+45,2,3
30,4.887367798068926e+46,0,6
